内容,url,发布日期,发布人,
抄袭图片,https://weibo.com/6505491356/Jqb7mn0rv?type=comment#_rnd1603600114774,2020.10.21,神奇的哈哈酱,
"哈哈哈哈南方加绒人[doge][doge][doge]
#南方加绒人# ​​​​",https://weibo.com/2115260573/Jqgd8h19y?type=comment#_rnd1603812016350,2020.10.21,学习,
2020上半年的“两句话恐怖故事”精选 细思极恐！！！看完完鸡皮疙瘩直冒 喜欢的码着慢慢看 ​​​​,https://weibo.com/2610186355/Jq6IuCVkU?type=comment#_rnd1603599334744,2020.10.20,赵乐呵 ,
这个视频好高清[兔子] L -PAAA-的微博视频 ​​​​,https://weibo.com/1860037624/Jq6ZNusI4?type=comment,2020.10.20,PAAA,
抄袭图片,https://weibo.com/5705058220/JpXKcs3T5?type=comment#_rnd1603600139634,2020.10.19,名侦探柯南漫迷中心 ,
如果是真事，给这位国航空姐点赞 ​​​​,https://weibo.com/1567270864/JpMUgfOTx?type=comment#_rnd1603599469789,2020.10.18,绿旗的秘密 ,
怎么这么没自信 ​​​​（光明乳业）,https://weibo.com/2742655797/JpIVkwsGO?type=comment#_rnd1603599746547,2020.10.18,安然且过,
啊……这？？？ L铲屎官和主子们的微博视频,https://weibo.com/1895289983/JpsW1AYpc?type=comment,2020.10.16,铲屎官和主子们 ,
伊朗人站在山头上看阿塞拜疆和亚美尼亚两个国家打仗，感觉很可怕的样子，伊朗人咋那么淡定呢……[衰] L数码君的微博视频 ​​​​,https://weibo.com/1738877650/Jor5P6rkZ?type=comment,2020.10.09,数码君,
O中科院报告称政府医疗投入80%为党政干部服务,https://weibo.com/1905538303/Jo8Ap4Yqo?type=comment,2020.10.07,孟彦弘,
如意芳霏超话贴片广告,https://weibo.com/6504679563/Jo3WP5x1T?type=comment,2020.10.07,星辰丶殇璃 ,
#风筝造型可以有多奇葩# 奇葩风筝图鉴[二哈]  L智扙的微博视频 ​​​​,https://weibo.com/2698576714/JnX8M7wCO?type=comment,2020.10.06,智杖,
柴静曾经采访过11个杀夫女犯，都是常年被家暴后杀夫的】,https://weibo.com/6042105223/JnjFUwsAv?type=comment,2020.10.02,第二镜头,
人心难测 恶心是真的.... ​​​​（图片）,https://weibo.com/2610186355/JnnAmw7zx?type=comment#_rnd1602127911235,2020.10.02,赵乐呵,
#来自医学生的浪漫# 吃下不口啊[允悲],https://weibo.com/2995631244/JmC979yfU?type=comment#_rnd1602127487358,2020.09.27,我与老公的日常,
这是网上看到的一张图片，内容真假不知。请图片中涉及到的医药单位回应一下。 ​​​​,https://weibo.com/2736615377/JmhW8ynRV?type=comment#_rnd1603599674199,2020.09.25,大漠鱼- ,
#boystory##boystory应援色抄袭# #boystory应援色#  boystory的粉丝说两家颜色不一样的自己出来看看吧。怎么就能巧成这样呢？？你们自己看看外包装的颜色跟自己的应援色一不一样，别嘴硬了哈 ​​​​,https://weibo.com/7461037565/JlLewxwyN?type=comment#_rnd1600770112580,2020.09.22,小七7461037565,
#哈利波特便利贴#哈利波特便利贴，撕出一个霍格沃茨，你们喜欢吗 ,https://weibo.com/2877314787/JlM7SELyj?type=comment#_rnd1600769999768,2020.09.22,电竞榜,
日本正骨教你如何轻松练出天鹅颈，穿衣提拔有型必备！,https://weibo.com/2142168143/JlHsLyJeA?type=comment,2020.09.21,全球健身中心,
 ​​​猪肉新吃法，1小片肉擀成1大片肉，张张薄如纸，又滑又嫩吃不够@微博美食 @鲜城 #生活的样子# #味蕾的诱惑# L小鹅美食的微博视频 ​​​​,https://weibo.com/6504555100/JkVhqceQA?type=comment,2020.09.16,小鹅美食,
"岁月仍静好[微风]
#和猫猫一起醒来的初秋#  L地球托儿所的微博视频 ​​​​",https://weibo.com/6796993911/JkJ1Xg5Ut?type=comment,2020.09.15,地球托儿所,
人妖李二毛的一生。,https://weibo.com/2970036311/JkLDGc0DX?type=comment#_rnd1600749934297,2020.09.15,贴吧君,
"看这些政客的嘴脸……
观察者网 L如皋老猫的微博视频 ​​​​",https://weibo.com/3170766712/Jkrnk910s?type=comment,2020.09.13,如皋老猫,
"#听说日本有这个#
听说“轻音少女”里面樱高的取景地就在滋贺的丰乡小学旧校舍群！由威廉·沃利斯设计的旧校舍现在作为学校已经停止使用，其中一部分作为丰乡市的儿童活动中心常年对外开放。一到假日都会有很多轻音fan来到圣地拍照巡礼。原画里几乎和学校的陈设一模一样。还有许多周边贩卖！",https://weibo.com/5570328186/JisyZ4O4K?type=comment#_rnd1604414159410,2020.08.31,听说日本有这个,
"太惨了！太意外了！
    北京地坛公园，器械运动，发生意外，单杠大回旋老者头部与横向跑过的孩子头部发生相撞，两人均已死亡。
    带孩子出去玩的时候，一定要看好孩子！",https://weibo.com/6061077662/Jilqi4NAi?type=comment,2020.08.30,微知乎,
男友家是杭州城区的，第一次去他家本来挺满意的。临走时他妈妈给了我一个红包真的很让我失望。。。我是要求太高了还是他家里根本不重视？#情感# ​ ​​​​,https://weibo.com/1142208455/Ji9GXBsIu?type=comment#_rnd1600771081592,2020.08.29,前沿思想,
中国彩票中奖最多的人群，竟是中国彩票管理中心14名领导。,https://weibo.com/1813080181/Ji17a26JI?type=comment,2020.08.28,薛蛮子,
"转：山东临沂平邑的一个小区, 一个姑娘竟然从楼上阳台直接漏下去了…..…🙏",https://weibo.com/6686773484/JhzZLmo58?type=comment,2020.08.25,画画的老武,
广东一位学生伪造清华大学录取通知书，还准备戴红花游街，荣耀门楣，不料惊动了当地教办，一查原来是假的，害得老父杀猪宰羊，花了几万元摆酒招待亲朋好友。他父后来得知真相后当场气昏，后来送医院抢救，醒来后检查血压220，大骂：呸，考得还没我血压高！,https://weibo.com/5236032763/JgCAns36c?type=comment#_rnd1603600405153,2020.08.19,科技事儿,
上年纪的人都记得。,https://weibo.com/6031257343/Jg0zLjsrG?type=comment#_rnd1603601240350,2020.08.15,斐济果的样子 ,
"近日许多网友注意到，微软更新了Microsoft服务协议，其中一些条款耐人寻味。
       微软的更新声明称，如果因为不可抗力导致微软无法履行或延迟履行其义务，微软对此不承担任何责任或义务。",https://weibo.com/7212314665/Jf6OxrsAl?type=comment#_rnd1604415438064,2020.08.09,哈勃观察员,
【真特么缺德】（转） O绿洲 L郑克强的微博视频 ​​​​,https://weibo.com/1769544670/JeaPgk0Le?type=comment,2020.08.03,郑克强,
在网上看见这群黑熊吃果的图片，想起我的一个朋友曾给我讲过的故事，我们这边有果农倒掉大量坏掉的苹果之后引来黑熊，吃了烂果子的黑熊行动迟缓，行为异常，还偶尔坐在马路中间一动不动发呆。专家怀疑是烂苹果里的酒精引起的，于是要求果农必须按规定处理烂果子。后来他们把熊送去医院抽血化验，再加上胃酸测试，证实了熊吃果子是不会醉的，行为举止古怪完全是因为智商低。,https://weibo.com/1498619283/Jn0pCk34V?type=comment#_rnd1602127832622,2020.07.30,本冰,
愿上帝救赎那些内心邪恶的人,https://weibo.com/1238141300/JdEpEF8n3?type=comment#_rnd1603601127363,2020.07.30,闻松V,
#杭州警方通报女子失踪案# 最新消息出来了，凶手的手段简直太残忍了！毫无人性，一点做人的底线都没有！,https://weibo.com/2461508674/JcB9irwwv?type=comment#_rnd1604415838926,2020.07.24,何谓意识,
虚假图片,https://weibo.com/2793645275/JcgQ5DYI1?type=comment#_rnd1604416090503,2020.07.21,诗人记者陈小平 ,
"耶鲁校长：中国大学是人类史上最大的笑话
by  妮卡良品",https://weibo.com/1480219172/JbefauR1p?type=comment#_rnd1603601567577,2020.07.15,老简宁,
老干妈腾讯的逗鹅冤可能真相大白了[允悲]原来是大儿子的公司签的，老干妈陶华碧不承认 ​​​​,https://weibo.com/1644730235/J9EXbrd5O?type=comment#_rnd1603601690268,2020.07.04,JIMMYs动画剧场 ,
刚登陆了我的学信网账号，的确改了，现在查学历需要先输入毕业院校了@学信网 解释一下吧，这是怎么回事？在这节骨眼上，让更多的不知道自己是不是被冒名顶替的学子们断了查询自己学籍的方式吗？,https://weibo.com/1850017837/J91xcl7yL?type=comment#_rnd1603602032525,2020.06.30,史老柒,
学信网再也没法查出来，你是不是被冒名顶替的了，因为学信网改版了，彻底解决提出问题的人了，这波操作真特么厉害[微笑]#学信网改版了# ​​​​,https://weibo.com/1926105113/J92KUvsI1?type=comment#_rnd1603602031637,2020.06.30,IT新闻哥 ,
学信网账号,https://weibo.com/1783563787/J93yi8Cui?type=comment#_rnd1603602013724,2020.06.30,红拂夜奔不复还 ,
#强哥案件播报#真实的本来可以逃生：重庆到利川避暑的自驾车不幸坠河。,https://weibo.com/2482816377/J8JDKr0ky?type=comment,2020.06.28,人们执法监督员,
"#北京抗疫##北京战役#
男神又到北京了，看到您那缓慢的步伐莫名有些心酸，本应该这个年龄在家享福，而您为了每一位中国人的健康，四处奔波，钟老辛苦了！[心] L馋小爷的微博视频",https://weibo.com/2451378031/J798MftA5?type=comment,2020.06.18,馋小爷,
84岁高龄的钟南山院士，再次出征北京，心系人民，迎难而上，报效国家，他就是最耀眼的一颗星，为钟老点赞[中国赞],https://weibo.com/3537077677/J7bWRiAGI?type=comment,2020.06.18,华子敬言,
在我家干了8年的保姆阿姨去世了，妻子哭的痛不欲生，在收拾阿姨遗物时，发现了150000现金、一对玉镯和一封信。,https://weibo.com/6405349123/J5qk8wG6J?type=comment#_rnd1604464165097,2020.06.06,尘年旧事,
2020最佳摄影奖[耶]（图片）,https://weibo.com/6248902066/J61UwAMlk?type=comment#_rnd1604464295191,2020.06.10,上官娇,
我想慢慢来也是一种诚意。,https://weibo.com/6238767154/JrLh9xmtW?type=comment#_rnd1604464465633,2020.10.31,日常拍照技巧 ,
"巡逻警VS FBI
白人巡逻警尽然没查身份就捉人却捉了FBI黑人警
结果..... Li-d-hh的微博视频 ​​​​",https://weibo.com/2205959704/J5b375KJz?type=comment,2020.06.05,i-d-hh,
越南国家电视台《今日越南》4月25日的节目，关于疫情期间杭州市政府给外籍人士发放5000元疫情补贴的新闻报道。 L栖侯人生的微博视频 ,https://weibo.com/1734521347/J4LqsnWre?type=comment,2020.06.02,栖侯人生,
#美国暴乱##美国##美国🇺🇸，你让我越看越懵！这什么操作，看看美国执法的神操作！美国警察：让你们挡着我，都给我滚。。。。。 LRobotW2019cn的微博视频,https://weibo.com/6100945229/J50D6nV6e?type=comment,2020.06.04,跑题老师,
这应该是最近几天美国警察闹出的最大的一个笑话了，几个警察在路边强行逮捕了一个非裔青年，整个逮捕过程中黑人青年都在询问警察自己被逮捕的罪名，警察们却一直说不出个所以然，估计就是看这个黑兄弟不顺眼。,https://weibo.com/7421955239/J4Iyg1sPT?type=comment,2020.06.02,掷弹兵军品行,
疫情期间杭州给外籍人士发5000元疫情补助？】越南国家电视台《今日越南》4月25日的节目，关于疫情期间杭州市政府给外籍人士发放5000元疫情补贴的新闻报道。杭州民政说他们民政局没有发。 那到底是这个越南人撒谎，还是杭州移民局发的或是其他部门发的？#越南国家电视台报道：杭州给外籍人士发放每月5000元疫情补助#,https://weibo.com/7390567278/J4SPy0xUQ?type=comment,2020.06.03,大鹰DN,
#北京地震##北京地震了##地震#   这两天的云这么漂亮，误以为是地震云。 经科普才得知地震云这一说目前尚无定论，也不被气象专家和地质专家认可。都怨小时候课文背得太深刻了。[允悲]尽信书不如无书，而且知识更新太重要了。,https://weibo.com/1237670845/J3CFUhxbZ?type=comment#_rnd1604465361539,2020.05.26,编剧路东,
"一个被亲戚强奸和威胁的26岁土耳其女性，在要求堕胎被拒之后，开枪杀死了强奸犯（第一枪打生殖器，男人欲拔枪回击时，她接着开多枪把他击毙）。然后她割下他的头颅，扔到村民面前，说：“不要玩弄我的名誉。这是一个玩弄我名誉的男人的头。” 正在等待审判的她说，自己已经准备好赴死。
这么厉害的新闻，中文世界却看不到。可翻墙的各位请搜“Turkish woman awaits trial after beheading her alleged rapist”。",https://weibo.com/1648736703/J1FSU59gO?type=comment,2020.05.13,Pfaueninsel,
"武汉三民小区的人全变红码，全市所有人全部核酸检测！
武汉三民小区出了六个感染者，清零很久以后出的，震动全国。是一个89岁的，之前感染自己好了，没去治疗，隔了两个月又发病传染人。武汉发了狠，所有人（除六岁以下）全部强制检测！三民小区封掉，5000人都变红码动不了，又隔离14天，上班的也不行了。全市10天都测一遍，不测的人变黄码无法出行，过期检测自己出钱。要测一个小区，就提前封闭。这是搞毛了，被病毒害的太惨。大样本检测，科研意义也很大。",https://weibo.com/5493934570/J1HVpjFjH?type=comment#_rnd1604466345749,2020.05.13,风云学会陈经,
【急急急!🆘🆘🆘城管野蛮粗暴强制抢狗!】请大家打绍兴政府热线0575-12345，绍兴城管5月11日上午十点左右，公然围攻抢有主人带有牵绳的狗，在温馨花园城管在抢一个工人的狗，狗的主人是农民工，狗没有伤人，还牵着狗绳，请大家发声，谢谢🙏🏻狗是主人的全部，主人拼尽全力保护自己的爱犬，却被城管部门拼命抢夺其手上的狗！狗是主人的私有财产，城管野蛮粗暴执法严重违反了巜物权法》！请大家打电话投诉举报绍兴城管非法抢夺主人私有财产的违法行为！,https://weibo.com/5071717742/J1A6FrQAn?type=comment,2020.05.12,紫色薰衣草529,
最大的火箭“长征五号B”在5月5日傍晚首次发射，官方称成功将载人试验飞船送上轨道，稍后官方媒体报道称返回舱出现异常。但“长征五号B”之后便完全失控，在太空飘荡6天后，5月11日，预测将坠入美国加州外海。这也成为近30年来整个地球所迎来的最大的失控人造物。 °“长征五号B”一次发射 却两次失败 坠入美国外...,https://weibo.com/5911198285/J1y84t8kL?type=comment,2020.05.12,Countrycat,
我是一名普通的农民工走入人群中似乎会遭人嫌弃因此我尽量远离人群但是我依然自信满满,https://weibo.com/7453575473/J1NdqzCKC?type=comment#_rnd1604466540838,2020.05.14,用户7453575473,
病愈后的英国首相，每天骑单车上班，虽然他有一辆二手大众，但上下班不得开公车，而且首相府没固定停车位。说以他只好骑车，两保镖开车跟在路上，还因经常堵车而掉队。,https://weibo.com/1371675920/J0t5zqLj7?type=comment,2020.05.05,安普若-外号安校长,
我正在看【虐猫团伙追踪：实锤舒克就是上海奉贤离职消防战士钱炯达！恳请警方行动！】，分享给你，一起看吧！ 虐猫团伙追踪：实锤舒克就是上海奉贤离职消防战士钱炯达！恳请警方行动！ O虐猫团伙追踪：实锤舒克就是上海奉贤离职消防... ,https://weibo.com/6569774732/IEG8o9ajv?type=comment#_rnd1604467244131,2020.04.23,用户6569774732,
河南孤寡老人去世后留下80000元存款，老人无儿无女，唯一亲人侄女有密码却取不出钱？银行称：这笔钱应该归国家所有！（来源：河南民生频道）L二次创作的微博视频 ​​​ ,https://weibo.com/2013937191/IEHem9OBM?type=comment,2020.04.23,五栈茶,
河南一孤寡老人去世后留下80000元存款，老人无儿无女，唯一亲人侄女有密码却取不出钱？银行称：这笔钱应该归国家所有！[黑线][黑线][黑线] L二次创作的微博视频 ​​​ ​​​​,https://weibo.com/7069873217/IEPFBBsVv?type=comment,2020.04.24,老王在隔壁住_,
"头三张图来自网友投稿，河南郑州地铁内公益广告在致敬抗疫英雄，全部为男性照片，无一女性面孔[微笑][拜拜]@郑州地铁
抗疫期间，全国出征的女性医护占比90%。没有搜到河南的完整数据，但是已知河南第二批赴鄂支援女性占比2/3",https://weibo.com/5288987897/IDMAijFzb?type=comment#_rnd1604474547819,2020.04.17,暴烈甜心小鳄鱼毛毛 ,
"柳州奖励援鄂医疗队员，每人一辆汽车！
赠奖车打有英雄字样，实在太过了，低调的人怎么开的出去？ L翻译老顽童的微博视频",https://weibo.com/1006119663/ICyZh9nMn?type=comment,2020.04.09,翻译老顽童,
#微博辟谣# 之#承包千亩地收割时遭村民哄抢# ？假新闻，自媒体炒作无下限，恶意剪辑配音，造谣生事。部分媒体大V毫无底线传谣。一向以关心农民为标榜的于建嵘更是破口大骂不要脸！,https://weibo.com/3812400789/JsdQJrG5s,2020.11.03,无为李爷,
之前有自媒体造谣说，老胡一年收入1200万元以上。因为它太离奇，一看就是假的，我未予回应。,https://weibo.com/1989660417/Jo9snioLr?type=comment,2020.10.08,胡锡进,
塔吊事故，能看到有人掉下来，看来凶多吉少了。。 L新蜜蜂alex182的微博视频 ​​​​,https://weibo.com/1051292340/JlbnxlYRe?type=comment,2020.09.18,新蜜蜂alex182,
#杭州失踪女子亲属在化粪池旁痛哭# 7.25 最新疑点！！！许先生十七年前曾在诸暨老家涉嫌一桩命案的详情（爆料附下），但因证据不足被释放。注:十七年前未破悬案的受害者，是一名刚步入花季的懵懂少女。,https://weibo.com/2461508674/JcKDpiEBP?type=comment#_rnd1604492272092,2020.07.25,何谓意识,
澳大利亚奔富酒庄的CEO在报纸上公开发表了言论说：我们不受新冠病毒的发源地中国的威胁！这是公开蔑视！挑衅！奔富系列的产品在中国销量是全球的80%。再见奔富[再见] ​​​​,https://weibo.com/1238297243/JsPKnBUjj?type=comment#_rnd1604845584970,2020.11.7,一地大米,
一年前，2019年11月5号，武汉有八人因传播新冠谣言被捕，一举成为新世纪新闻。而今天新冠肺炎已蔓延全世界造成一百多万人死亡，目前尚无有效药物控制病毒继续蔓延。 ​​​​,https://weibo.com/5260013814/JsBxIF2rJ?type=comment#_rnd1604845407451,2020.11.06,锦州冰雪,
这是选举办公室工作人员集体犯罪的铁证,https://weibo.com/5911198285/Jss4d1YWR?type=comment#_rnd1604845414755,2020.11.05,Countrycat,
,https://weibo.com/1094627834/JpOiq7Yaq?type=comment#_rnd1604929400665,2020.10.18,谭飞,
光明牛奶，已哭死在现代汉语词典里,https://weibo.com/7459936011/JpIII0uAt?type=comment#_rnd1604929580704,2020.10.18,小闲事2020,
中文的🤔這不會是寫給美國看的了吧,https://weibo.com/5724261653/Jo63J90Il?type=comment#_rnd1604929779246,2020.10.07,若飛Original ,
国家电网统计，连续6个月电表数为零的房子有6540万套，这些房子足够2亿人居住。 ​​​​,https://weibo.com/7342873422/Jong03iLa?type=comment,2020.10.09,肠精,
阿塞拜疆的米格-25与亚美尼亚地面防空系统的对决 L苏占军_不舍斋主的微博视频 ​​​​,https://weibo.com/1464054484/Johpe9xLb?type=comment,2020.10.08,苏占军_不舍斋主 ,
阿塞拜疆的米格-25与亚美尼亚地面防空系统的对决，太精彩了,https://weibo.com/3972729684/Joe0Y9v9N?type=comment,2020.10.08,分析师杨晓磊,
塔吊事故，能看到有人掉下来，看来凶多吉少了。。 L新蜜蜂alex182的微博视频 ​​​​,https://weibo.com/1051292340/JlbnxlYRe?type=comment,2020.09.18,新蜜蜂alex182 ,
#中国军队维和牺牲官兵名单#致敬英雄，看一次哭一次 L王之涵520的微博视频 ​​​​,https://weibo.com/7038535899/JlaFcEJaE?type=comment,2020.09.18,王之涵520,
"转：山东临沂平邑的一个小区, 一个姑娘竟然从楼上阳台直接漏下去了…..…🙏 L画画的老武的微博视频 ",https://weibo.com/6686773484/JhzZLmo58?type=comment,2020.08.25,画画的老武,
转基因玉米的区别，大家都看看 ,https://weibo.com/2577359653/Jhyk1oW4k?type=comment#_rnd1604931145291,2020.08.25,伯乐聊股,
"这篇文章的题目是:外交部严肃敦促瑞方：为人类安定团结，不应公布帐户名单
这是文章的截图。为了把文章的内容截全，发言人的脸部就截不上了。 ",https://weibo.com/1229689043/JhfoI0duz?type=comment#_rnd1604931237531,2020.08.23,我是陈原,
给爸妈打电话哭到喘不过气。在想为什么自己刚刚毕业，为什么自己这么没用不能把他们全部接来身边离开五通桥这个我从小就讨厌的鬼地方，这些年一次又一次的爆炸，一次又一次的泄漏。全城撤离，路堵得水泄不通。因为洪水，家里的车报废了，什么东西都来不及拿，庞大的无力和痛苦。 #五通桥#,https://weibo.com/1841306144/JgLv7tpN2?type=comment,2020.08.20,Franicctor,
"微软新声明：为断供中国Windows做准备？

          近日许多网友注意到，微软更新了Microsoft服务协议，其中一些条款耐人寻味。",https://weibo.com/7212314665/Jf6OxrsAl?type=comment#_rnd1604933767945,2020.08.09,哈勃观察员,
#黎巴嫩首都突发爆炸# #黎巴嫩冻结7名贝鲁特港官员账户#  这是官方首度公布的大爆炸录像，有人怀疑是遭导弹攻击！,https://weibo.com/2092902070/JeO8UxH5e?type=comment,2020.08.07,金线胡同 ,
"#杭州失踪女子亲属在化粪池旁痛哭#
婚姻给你的港湾   可能也是化粪池…让人不寒而栗",https://weibo.com/6073383366/JcHc9v2Lr?type=comment#_rnd1604934103738,2020.07.24,短腿的反击_X,
#杭州警方通报女子失踪案# 最新消息出来了，凶手的手段简直太残忍了！毫无人性，一点做人的底线都没有！一定要严惩，据说是因为这个男的其自身性格存在缺陷，多次向妻子借钱炒股被拒和回迁房装修意见存在分歧等原因，遂产生不满，于7月5日凌晨在家中，趁妻子熟睡之际，以枕头蒙头的方式将其杀害并分尸，后将大部分身体组织用绞肉机搅碎（该男子反侦察能力较强，绞肉机还是用现金买的），然后通过抽水马桶冲入化粪池。大块来不及搅碎的身体组织和部分骨骼被他带到室外后分散抛弃（因为杭州目前垃圾清运是一天一次，所有流动性很大查找难度也较高，警方目前仍正在查找中）,https://weibo.com/7377715473/JcG5q9n5t?type=comment#_rnd1604934623787,2020.07.24,社会热门,
#杭州警方通报女子失踪案#把自己老婆分尸解体带去对面住户家里通过马桶冲掉 这是人能干出来的事？？？卧槽！！！孩子得有多大的阴影[泪][泪][泪][泪],https://weibo.com/3032169305/JcAAA5PzV?type=comment#_rnd1604934894135,2020.07.24,royalblue-goguma,
大家慎用绵白糖和沙糖,https://weibo.com/7405340395/JcxX7kLEG?type=comment#_rnd1604934831086,2020.07.23,少帅的点评,
经查，该微博称“广州三元里附近的瑶台村，封闭14天”不实，@广州公安 已通报：4月6日，越秀警方依法查处在微信群发布“广州瑶台封村”“建方舱医院”等不实信息的网民宋某，详情：https://weibo.com/1722022490/ICd8Khfgj，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。,4月6日,1772154095_894 ,https://weibo.com/1772154095/IC6MOnucU?type=comment#_rnd1603800912656,190
经查，该微博称“张文宏公示财产”不实，据张文宏本人回应，近期有关其个人家庭财产、生活隐私等讨论愈演愈烈，且纯属谣言，详情：https://new.qq.com/omn/20200406/20200406A0MTB400.html，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,4月5日,某科学的超发展观 ,https://weibo.com/1286054842/IBTM0AduR?type=comment#_rnd1603847001072,71
经查，该微博称“加拿大说阿里巴巴捐给他们的口罩不符合标准，还有波兰都是如此”不实，@新浪科技：当地时间3月31日，加拿大总理特鲁多@特鲁多_JustinTrudeau 出席例行记者会，期间他特别对中国企业捐赠表示感谢，详情：https://weibo.com/1642634100/IBhyeeTsK，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,4月2日,西平郡司马,https://weibo.com/1863031164/IBpotwXnm?type=comment,312
经查，此微博称“广西昨天一天从陆地口岸入境10万+，说是好多华人改道从越南和缅甸入境”不实。据@环球时报 报道，网传消息是谣言，无论陆路、水路还是航空，边境管控措施都是一样严格。详情：https://weibo.com/6525943125/IB0r7iyT8， 被举报人言论构成“发布不实信息”。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,3月28日,谁是谁非任评说 ,https://weibo.com/1237389341/IAHFQw1e6?type=comment,75
经查，该微博称“加拿大竟然说阿里巴巴捐给他们的口罩不符合标准”不实，@新浪科技 ：当地时间3月31日，加拿大总理特鲁多@特鲁多_JustinTrudeau 出席例行记者会，期间他特别对中国企业捐赠表示感谢，详情：https://weibo.com/1642634100/IBhyeeTsK，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,3月30日,罗爷说法-law ,https://weibo.com/3180426430/IB2sYljXF?type=comment#_rnd1603881920177,84
经查，该微博发视频称“加拿加总理特鲁多的夫人发了一段自拍视频”不实，@海客新闻 报道：3月16日，英国伦敦一名39岁女子感染新冠肺炎后在重症监护室拍下视频发给同事，警告人们重视疫情，别再心存侥幸，以健康犯险，详情：https://weibo.com/7360594450/Izskv5HQG，被举报人言论属于构成“发布不实信息”，且情节恶劣。现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。,3月31日,厦门晓薇 ,https://weibo.com/6124545540/IB6UOxSkY?type=comment,185
经查，此微博视频称“美国疫情已经开始爆发，黑人区也开始打砸抢了”不实。据@捉谣记 查证：这则消息发布于2011年9月，报道中这张照片与网传视频几乎一致。详情：https://weibo.com/6590980486/IzOohscr9 被举报人言论构成“发布不实信息”，且情节恶劣。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分10分，禁言15天，禁被关注15天。上述处理在公布后60分钟内生效。,3月22日,西子丹聊斋 ,https://weibo.com/3675736060/IzOpZxQck?type=comment,304
