,,,内容,发布日期,发布人,URL,1.20-4.8
,新冠肺炎,,#重庆确诊5例新型肺炎病例#：均有武汉工作史或居住史,1.21,人民日报,https://weibo.com/2803301701/IqycI42uq?type=repost,
健康,非,,四川中医药管理局公布#预防呼吸道传染病中医处方#,1.21,人民日报,https://weibo.com/2803301701/Iqyqu2OXM?type=repost,
,新冠肺炎,,#全国确诊309例新型冠状病毒肺炎#病例,1.21,人民日报,https://weibo.com/2803301701/Iqyzaq9lM?type=repost,
,新冠肺炎,,#武汉给市民朋友的一封信#：#你能我能武汉能#,1.21,人民日报,https://weibo.com/2803301701/IqyHisK4l?type=repost,
,新冠肺炎,,感谢守候！#全副武装的白衣战士#,1.21,人民日报,https://weibo.com/2803301701/IqyQjxqTe?type=repost,
,新冠肺炎,,#北京新增5例新型肺炎病例#,1.21,人民日报,https://weibo.com/2803301701/IqyWD5M8P?type=repost,
,新冠肺炎,,#广东打击哄抬口罩价格行为# ,1.21,人民日报,https://weibo.com/2803301701/Iqz6ikCxz?type=repost,
,新冠肺炎,,#山东确诊1例新型肺炎病例#,1.21,人民日报,https://weibo.com/2803301701/IqzgHrEV4?type=repost,
,新冠肺炎,,#美国确诊首例新型肺炎病例# 患者从武汉返回美国,1.22,人民日报,https://weibo.com/2803301701/IqBHIDCTi?type=repost,
,新冠肺炎,,#湖北启动突发公共卫生事件二级应急响应#,1.22,人民日报,https://weibo.com/2803301701/IqClL8Mv4?type=repost,
,新冠肺炎,,今天，一起转发呼吁：为了你我的健康，#支持禁绝野味市场#！,1.22,人民日报,https://weibo.com/2803301701/IqCqYokJ1?type=repost,
,新冠肺炎,,国家卫健委：#新型肺炎确诊440例#，死亡9例,1.22,人民日报,https://weibo.com/2803301701/IqDkPh81k?type=repost,
,新冠肺炎,,#9个关于新型肺炎最新事实#,1.22,人民日报,https://weibo.com/2803301701/IqDF3ikaU?type=repost,
,新冠肺炎,,请战新型肺炎！#武汉女医生的现代版与夫书#,1.22,人民日报,https://weibo.com/2803301701/IqDTLsntn?type=repost,
,新冠肺炎,,#新型冠状肺炎病毒来源是野生动物#,1.22,人民日报,https://weibo.com/2803301701/IqE1F7H3U?type=repost,
,新冠肺炎,,#国家卫健委提示4点个人卫生建议#,1.22,人民日报,https://weibo.com/2803301701/IqE4z6Nwh?type=repost,
,新冠肺炎,,#广东新确诊9例新型肺炎病例#，#广东累计确诊新型肺炎26例#,1.22,人民日报,https://weibo.com/2803301701/IqEghq5Fd?type=repost,
,新冠肺炎,,转存正确戴法！#医用外科口罩怎么戴正确#？,1.22,人民日报,https://weibo.com/2803301701/IqEP8lpC6?type=repost,
,新冠肺炎,,#教育部部署疫情防控工作#：#学校非必要不举办聚集性活动#,1.22,人民日报,https://weibo.com/2803301701/IqFs82MCO?type=repost,
社会,非,,#在朝阳医院行凶犯罪嫌疑人被批准逮捕#,1.22,人民日报,https://weibo.com/2803301701/IqFBH65YU?type=repost,
,新冠肺炎,,扩散周知！#防范新型肺炎48字守则#,1.22,人民日报,https://weibo.com/2803301701/IqG6JkWxz?type=repost,
,新冠肺炎,,#全国已确诊473例新型肺炎病例#,1.22,人民日报,https://weibo.com/2803301701/IqH09DyCi?type=repost,
,新冠肺炎,,医保报销后，#确诊新型肺炎患者个人费用部分由财政补助#,1.22,人民日报,https://weibo.com/2803301701/IqH9wfqvH?type=repost,
,新冠肺炎,,重点关注！#新型冠状病毒怕酒精不耐高温#,1.22,人民日报,https://weibo.com/2803301701/IqHgkeDcB?type=repost,
,新冠肺炎,,转发辟谣！#关于新型肺炎的9大谣言#,1.22,人民日报,https://weibo.com/2803301701/IqHtlv14B?type=repost,
,新冠肺炎,,#致敬白衣战士#【心疼！这是#抗疫一线90后护士的手#】,1.22,人民日报,https://weibo.com/2803301701/IqHIxxsFX?type=repost,
,新冠肺炎,,#武汉要求全市在公共场合佩戴口罩#,1.22,人民日报,https://weibo.com/2803301701/IqHYM0Tem?type=repost,
,新冠肺炎,,#新型肺炎已致湖北17人死亡#,1.22,人民日报,https://weibo.com/2803301701/IqI6mFRjL?type=repost,
,新冠肺炎,,#河北确诊首例新型肺炎病例#,1.22,人民日报,https://weibo.com/2803301701/IqIgXzszS?type=repost,
,新冠肺炎,,#江苏确诊首例新型肺炎病例#,1.23,人民日报,https://weibo.com/2803301701/IqILn7lfp?type=repost,
,新冠肺炎,,#全国确诊550例新型肺炎病例#,1.23,人民日报,https://weibo.com/2803301701/IqIXTkU79?type=repost,
,新冠肺炎,,#广西新增3例新型肺炎确诊病例#,1.23,人民日报,https://weibo.com/2803301701/IqJb3e4em?type=repost,
,新冠肺炎,,周知！#武汉公交地铁轮渡长途客运23日起停运#,1.23,人民日报,https://weibo.com/2803301701/IqJCvwRuB?type=repost,
,新冠肺炎,,武汉现场：#武汉对进出城车辆人员进行疫情排查#,1.23,人民日报,https://weibo.com/2803301701/IqLsT4ihR?type=repost,
,新冠肺炎,,转起#致敬所有防疫一线医务工作者#！,1.23,人民日报,https://weibo.com/2803301701/IqLTGDGE9?type=repost,
,新冠肺炎,,国家卫健委：#全国确诊571例新型肺炎病例# 死亡17例,1.23,人民日报,https://weibo.com/2803301701/IqM0Xyety?type=repost,
,新冠肺炎,,卫健委通报#湖北17例死亡病例病情#,1.23,人民日报,https://weibo.com/2803301701/IqMhndHj4?type=repost,
,新冠肺炎,,#山东新增确诊病例4例#：#山东累计确诊病例6例#,1.23,人民日报,https://weibo.com/2803301701/IqMOu0ihd?type=repost,
,新冠肺炎,,#广东新增确诊病例6例#：#广东累计确诊病例32例#,1.23,人民日报,https://weibo.com/2803301701/IqN3nFhUq?type=repost,
,新冠肺炎,,#全国确诊新型肺炎病例#【#吉林确诊首例新型病毒肺炎病例#】,1.23,人民日报,https://weibo.com/2803301701/IqNaBocPC?type=repost,
,新冠肺炎,,#全国确诊新型肺炎病例#【#内蒙古发现1新型肺炎疑似病例#】,1.23,人民日报,https://weibo.com/2803301701/IqNeKbnpv?type=repost,
,新冠肺炎,,不用恐慌！#武汉新型肺炎防控指挥部第2号通告#,1.23,人民日报,https://weibo.com/2803301701/IqNjUslVS?type=repost,
,新冠肺炎,,收藏！#春节期间如何预防新型肺炎#,1.23,人民日报,https://weibo.com/2803301701/IqNuI47v9?type=repost,
,新冠肺炎,,#全国确诊新型肺炎病例#【#安徽新增确诊病例8例#】,1.23,人民日报,https://weibo.com/2803301701/IqNGBkQvA?type=repost,
,新冠肺炎,,好消息！#温州首例新型肺炎确诊患者基本痊愈#,1.23,人民日报,https://weibo.com/2803301701/IqNOjomoV?type=repost,
,新冠肺炎,,转发辟谣！#在武汉上空播撒消毒粉液是谣言#,1.23,人民日报,https://weibo.com/2803301701/IqNYBEik2?type=repost,
,新冠肺炎,,#甘肃发现首例新型肺炎疑似病例#：曾与来自武汉人员同桌就餐,1.23,人民日报,https://weibo.com/2803301701/IqO22r0Ko?type=repost,
娱乐,非,,【#多部电影撤出春节档#】电影《夺冠》、《囧妈》、《姜子牙》、《熊出没》均宣布撤出春节档。 #姜子牙撤出春节档# ​​​​,1.23,人民日报,https://weibo.com/2803301701/IqO4h3L89?type=repost,
娱乐,非,,【#唐人街探案撤出春节档#】刚刚，唐人街探案3声明撤出春节档、此前，电影《夺冠》、《囧妈》、《姜子牙》、《熊出没》均宣布撤出春节档。#多部电影撤出春节档# ​​​​,1.23,人民日报,https://weibo.com/2803301701/IqO5epAmX?type=repost,
,新冠肺炎,,#第3版新型肺炎诊疗方案#公布：#出现无武汉旅行史确诊病例#,1.23,人民日报,https://weibo.com/2803301701/IqOaz3fR5?type=repost,
运输,非,,最新消息！#湖北高速开始封闭#,1.23,人民日报,https://weibo.com/2803301701/IqOh8hltq?type=repost,
娱乐,非,,【#春节档电影全部撤档#】《姜子牙》、《熊出没》、《囧妈》、《唐人街探案3》、《夺冠》、《急先锋》、《紧急救援》陆续宣布撤档。至此，原定于2020年春节上映的七部大片集体退出春节档。#各大片方开启退票流程#，最大限度降低观众损失。 ​​​​,1.23,人民日报,https://weibo.com/2803301701/IqOn1aQ8W?type=repost,
,新冠肺炎,,中国邮政：#经武汉邮件将进行二次消毒#,1.23,人民日报,https://weibo.com/2803301701/IqOrbtjce?type=repost,
,新冠肺炎,,国家卫健委：#已出现无武汉旅行史的确诊病例#,1.23,人民日报,https://weibo.com/2803301701/IqOPqBann?type=repost,
,新冠肺炎,,不计生死！#武汉7名医生在请战书上按下红手印#,1.23,人民日报,https://weibo.com/2803301701/IqOWriZ6O?type=repost,
,新冠肺炎,,#全国确诊新型肺炎病例# 【湖北新增新型肺炎病例69例 #武汉新增新型肺炎死亡8例#】,1.23,人民日报,https://weibo.com/2803301701/IqP0TApdL?type=repost,
,新冠肺炎,,#防控肺炎父母不听劝怎么办#？年轻人家庭防控5项建议↓↓↓,1.23,人民日报,https://weibo.com/2803301701/IqPgDjpke?type=repost,
,新冠肺炎,,#深圳两名新型肺炎确诊病例出院#,1.23,人民日报,https://weibo.com/2803301701/IqPBYdZXI?type=repost,
,新冠肺炎,,#全国确诊新型肺炎病例#【#陕西确诊3例新型肺炎病例#】,1.23,人民日报,https://weibo.com/2803301701/IqPMidEzh?type=repost,
娱乐,非,,#2020春晚节目单公布#,1.23,人民日报,https://weibo.com/2803301701/IqPUf6uE9?type=repost,
,新冠肺炎,,国家卫健委专家组成员#李兰娟新型肺炎答疑10问#,1.23,人民日报,https://weibo.com/2803301701/IqPY2mZ0e?type=repost,
,新冠肺炎,,转！#新冠肺炎防控贴士#，面对疫情我们至少可以这么做,1.23,人民日报,https://weibo.com/2803301701/IqQ4mrz2o?type=repost,
,新冠肺炎,,转发辟谣！#这些新冠肺炎传言是假的#,1.23,人民日报,https://weibo.com/2803301701/IqQ96tjrl?type=repost,
,新冠肺炎,,#各地医生驰援湖北#,1.23,人民日报,https://weibo.com/2803301701/IqQHcFDx2?type=repost,
,新冠肺炎,,#各地医生驰援湖北#【南方医院千名医护人员请战抗击新型肺炎】,1.23,人民日报,https://weibo.com/2803301701/IqQMKmLMH?type=repost,
,新冠肺炎,,#各地医生驰援湖北#【四川派出135人组建第一批援助湖北医疗队】,1.23,人民日报,https://weibo.com/2803301701/IqRnp1phi?type=repost,
,新冠肺炎,,#各地医生驰援湖北#【没有被禁锢的城，只有不离开的爱！】 ​​​​,1.23,人民日报,https://weibo.com/2803301701/IqRso3TiU?type=repost,
,新冠肺炎,,微倡议：#从武汉回来请自行隔离#,1.23,人民日报,https://weibo.com/2803301701/IqRN3mrgi?type=repost,
,新冠肺炎,,证据确凿！#新冠肺炎病毒来自野生动物#,1.23,人民日报,https://weibo.com/2803301701/IqRXZdcQr?type=repost,
,新冠肺炎,,#财政部拨10亿补助湖北防控疫情#,1.23,人民日报,https://weibo.com/2803301701/IqS1gbd6u?type=repost,
,新冠肺炎,,#全国确诊新型肺炎病例#【#广西新增新冠肺炎确诊病例8例#】,1.24,人民日报,https://weibo.com/2803301701/IqSJAANR5?type=repost,
,新冠肺炎,,#全国确诊新型肺炎病例#【#29省累计新冠肺炎确诊病例830例#】,1.24,人民日报,https://weibo.com/2803301701/IqVoDcUfb?type=repost,
,新冠肺炎,,#全国确诊新型肺炎病例#【#全国新型肺炎死亡25例#】,1.24,人民日报,https://weibo.com/2803301701/IqVvGcyC0?type=repost,
,新冠肺炎,,【#新冠肺炎防控知识手册#，有效防控，转发周知！】,1.24,人民日报,https://weibo.com/2803301701/IqVKUhHyO?type=repost,
,新冠肺炎,,#湖北一家三口去山东过年被举报# 警方：已采取防控措施,1.24,人民日报,https://weibo.com/2803301701/IqW68ptD8?type=repost,
,新冠肺炎,,#湖北黄石全市道路客运停运#【#湖北10市公共交通停运#】,1.24,人民日报,https://weibo.com/2803301701/IqWafp88Z?type=repost,
,新冠肺炎,,#全国确诊新型肺炎病例#【#内蒙古确诊首例新冠肺炎#】,1.24,人民日报,https://weibo.com/2803301701/IqWzGsqlr?type=repost,
,新冠肺炎,,#发热咳嗽患者就诊指引#【转存！北京卫健委公布#发热咳嗽自我评估方法#】,1.24,人民日报,https://weibo.com/2803301701/IqWFSiqgw?type=repost,
,新冠肺炎,,#抗击新型肺炎我们在行动# 【#湖北黄冈发布捐赠电话#】,1.24,人民日报,https://weibo.com/2803301701/IqX7EpMyl?type=repost,
,新冠肺炎,,#国务院征集漏报瞒报问题线索#【#国务院征集新冠肺炎防控不力问题线索#】,1.24,人民日报,https://weibo.com/2803301701/IqXbop3wg?type=repost,
,新冠肺炎,,【#首株新型冠状病毒毒种信息#公布】,1.24,人民日报,https://weibo.com/2803301701/IqXexFDaC?type=repost,
,新冠肺炎,,重磅！#发热咳嗽非新冠肺炎唯一首发症状#,1.24,人民日报,https://weibo.com/2803301701/IqXhUBlFM?type=repost,
,新冠肺炎,,好消息！#武汉一新冠肺炎感染者出院#,1.24,人民日报,https://weibo.com/2803301701/IqXkdCmXI?type=repost,
,新冠肺炎,,#河南发布疫情预防短信#】近日，河南网友纷纷晒出收到的新冠肺炎预防提示短信，为防治疫情，河南多措并举。,1.24,人民日报,https://weibo.com/2803301701/IqXxVbjtq?type=repost,
,新冠肺炎,,#武汉小汤山模式医院开建#。时间不等人！福安中国，#武汉加油#！ ​​​​,1.24,人民日报,https://weibo.com/2803301701/IqXCxu1ih?type=repost,
,新冠肺炎,,#武汉免费心理热线电话#【扩散这个号码！武汉市民出现严重心理危机，请拨打027-85844666】,1.24,人民日报,https://weibo.com/2803301701/IqXOfeqiB?type=repost,
,新冠肺炎,,人社部：企业#不得开除因疫情影响上班员工#,1.24,人民日报,https://weibo.com/2803301701/IqXQEcsW0?type=repost,
,新冠肺炎,,扩散周知！#国务院征集漏报瞒报问题线索#,1.24,人民日报,https://weibo.com/2803301701/IqXZ71mCG?type=repost,
,新冠肺炎,,【#多地启动一级响应#】1月23日至24日，浙江、广东、湖南、湖北、安徽、天津、北京、上海已先后启动重大突发公共卫生事件一级响应。 ​​​​,1.24,人民日报,https://weibo.com/2803301701/IqY9R2cgB?type=repost,
,新冠肺炎,,#抗击新型肺炎我们在行动#【#湖北鄂州公布捐赠电话#】,1.24,人民日报,https://weibo.com/2803301701/IqYlziV2P?type=repost,
,新冠肺炎,,速扩！#急寻23日G1278次2号车厢乘客#！,1.24,人民日报,https://weibo.com/2803301701/IqYnzq9QV?type=repost,
,新冠肺炎,,#抗击新型肺炎我们在行动#【速扩！#武汉多家医院急需防护物资#】,1.24,人民日报,https://weibo.com/2803301701/IqYqEjlRF?type=repost,
,新冠肺炎,,【扩散！#武汉协和医院最新治疗方案#】转发周知！ ​​​​,1.24,人民日报,https://weibo.com/2803301701/IqYxcEt2D?type=repost,
,新冠肺炎,,【痛定思痛 转发倡议！】全社会行动起来：#拒吃野味从我做起#！#支持禁绝野味市场#！ ​​​​,1.24,人民日报,https://weibo.com/2803301701/IqYFVlhSM?type=repost,
,新冠肺炎,,#青海发现首例新型肺炎疑似病例# 患者27岁,1.24,人民日报,https://weibo.com/2803301701/IqZ8J14Pl?type=repost,
,新冠肺炎,,【转发提醒！#抗击新冠肺炎关注独居老人#！】@ 各相关部门，关注武汉乃至全国的独居老人，及时发放口罩及宣传册，共同抗击新冠肺炎！,1.24,人民日报,https://weibo.com/2803301701/IqZpXxmGT?type=repost,
,新冠肺炎,,震撼画面！决战武汉“小汤山”，#两公里工程车队逆向而行#,1.24,人民日报,https://weibo.com/2803301701/IqZxzr7Dt?type=repost,
,新冠肺炎,,#各地医生驰援湖北#【#江苏首批135人医疗队支援湖北#】,1.24,人民日报,https://weibo.com/2803301701/IqZHRpQHU?type=repost,
,新冠肺炎,,#废弃口罩如何正确处理#，扩散正确做法！,1.24,人民日报,https://weibo.com/2803301701/IqZOOektH?type=repost,
,新冠肺炎,,#武汉小汤山医院定名火神山医院#  可容纳1000张床位,1.24,人民日报,https://weibo.com/2803301701/IqZRK0kmM?type=repost,
社会,非,,#春晚历史上首次没有彩排的片段#,1.24,人民日报,https://weibo.com/2803301701/Ir0mamcty?type=repost,
社会,非,,收好！今年#春节最流行的拜年姿势#来了~ ​​​​,1.24,人民日报,https://weibo.com/2803301701/Ir0JRAtHP?type=repost,
,,微博个人认证,一个很直观的视频，告诉你为什么要“七步洗手”↓↓↓ #科学抗击疫情##返朴解惑新型肺炎##好好洗手大挑战#,3.23,返朴,https://weibo.com/7006367380/IzTmMndhW?type=repost,
娱乐,,微博官方认证,美国流行音乐巨星、词曲作家、音乐制作人及演员LadyGaga 将于美国东部时间4月18日星期六参加@世界卫生组织 与全球公民（Global Citizen）公益组织合作举办的“同一世界: 团结在家”（One World: Together at Home）线上特别慈善音乐会的演出。音乐会将在全球各地各社交平台以及电视网播出，包括@阿里巴巴 与@腾讯音乐娱乐 ，以向#抗击新型肺炎第一线# 的工作人员致敬，并为#新冠肺炎# #抗疫行动# 筹集善款，例如帮助购买诊断试剂盒、医务工作者的防护用品和支持研发。,4.7,联合国,https://weibo.com/1709157165/ICamFvWYj?refer_flag=1001030103_&type=repost,
,,微博个人认证,"妹妹们的日常工作其实真的很辛苦，工作需要三班倒，因为24小时病人都需要有人照顾
隔离区内很多工人的活也需要护士代劳，比如清洁，搬运垃圾，清洁打包尸体，是的没看错
很多妹妹真的很年轻，18，19岁也就是00后就随队支援湖北。
她们很多事都不清楚，也很害怕，湖北本地的医护姐姐们就手把手教她们，互相打气做“尸体料理”",2.21,梁钰stacey,https://weibo.com/1306934677/IvfaqAebc?refer_flag=1001030103_&type=repost,
,,微博官方认证,【#外籍人士统一纳入北京防控体系# 中外一致一视同仁】,4.5,BTV特别关注,https://weibo.com/1571743761/IBVZVxjHe?refer_flag=1001030103_&type=repost,
,,微博官方认证,【警惕骗局！邪教宣称能拯救信徒于新冠病毒肺炎】,4.8,中国反邪教,https://weibo.com/1590753120/ICnrGfp4t?type=repost,
娱乐,,微博官方认证,#华晨宇为抗疫写歌# @华晨宇yu 为新型肺炎患者创作公益歌曲《你要相信这不是最后一天》歌词公开，未来还很远，只要爱与信念永不停歇，美好就一定不会终结[心]#华晨宇 你要相信这不是最后一天# ​,2.20,娱乐有饭,https://weibo.com/1893711543/Iv6sy6nHW?type=repost,
娱乐,,微博官方认证,#华晨宇为抗疫写歌# @华晨宇yu 公益新歌歌词公开！此次，他聚焦新型肺炎患者的内心世界，借音乐表达爱与力量，希望大家都能坚守信念，不放弃自己，为生的希望抗争到底。花花社会责任感优秀,2.20,网易娱乐频道,https://weibo.com/2674977220/Iv6swARQB?type=repost,
娱乐,,微博官方认证,张艺兴#湖南防控新型肺炎#【只要我们在一起，一切，会好的】乌云笼罩下，用希望驱散阴霾；黑夜漫长时，用勇敢静待花开！张艺兴@努力努力再努力x 歌曲《会好的》，纵眼下长夜漫长，却始终相信曙光就在前方”，加油！,2.20,新浪湖南,https://weibo.com/2311694415/Iv5sFqP72?type=repost,
,,微博官方认证,#韩红爱心驰援武汉##抗击新型肺炎我们在行动# 0220项目实时进展,2.20,韩红爱心慈善基金会 ,https://weibo.com/2684793101/Iv7kQm2oN?type=repost,
,,微博官方认证,【特制视频，德云社@孟鹤堂 为97年的她点赞！】2月19日，正在参与救治新型冠状病毒肺炎患者的天津支援湖北医疗队队员王蕊收到了德云社相声演员孟鹤堂 为她录制的视频，收到自己喜欢的相声演员的点赞，王蕊开心不已。,2.19,津云,https://weibo.com/2967529507/IuYuPvDS6?type=repost,
,,微博个人认证,近7成明星出国“避难”引发热议：老百姓在家，明星乱跑？今年因为新型肺炎的原因，大部分网友都选择听专家的建议，不出门，不聚餐。,2.19,娱扒光,https://weibo.com/1659928803/IuTfngBmW?refer_flag=1001030103_&type=repost,
,,微博官方认证,#王凯影迷争捐呼吸机# 演员@王凯kkw 先生，有一群可爱的散装影迷朋友，还有十分支持她们公益行动的家属。截至目前，他们已经累积向湖北省内疫区医院捐赠了35台呼吸机，总金额达207900元，谢谢这些有爱的人们！愿我们的益路同行，可以帮助新型肺炎患者顺畅呼吸，早日康复,2.20,大爱清尘,https://weibo.com/2154411657/Iv5uxA9VB?refer_flag=1001030103_&type=repost,
,,微博官方认证,"感恩有你，盼你平安。
新型冠状病毒肺炎疫情发生以来，欧舒丹始终关注着疫情前线的需要。当得知一线医生护士因长期戴手套与频繁消毒而双手受损时，欧舒丹紧急调集10,000支乳木果大白润肤露及乳木果经典护手霜，携手@上海宋庆龄基金会，捐赠给武汉新型冠状病毒救治定点医院，及上海驰援武汉医疗队。希望我们的绵薄之力，能给奋战中的医护人员带去一份温暖与支持！#抗击新型肺炎我们在行动# ",2.20,普罗旺斯欧舒丹,https://weibo.com/2659749693/Iv2Cy6HX1?refer_flag=1001030103_&type=repost,
,,普通用户,"转发，已经校友会核实。 求救求救！
武汉大学资环学院赵玉华教授不幸罹患新型冠状病毒肺炎( 其全家感染，爱人何志教授已于2月3号不幸离世 )，赵老师目前在中南医院重症监护室抢救，生命垂危，急需O型血康复者捐献血浆救命，恳请大家伸出救命之手",2.20,黄思敏_,https://weibo.com/2586514334/Iv5QRlN2E?refer_flag=1001030103_&type=repost,
,,微博官方认证,【扩散！#一图看懂新型冠状病毒肺炎#】,1.20,微博热点,https://weibo.com/2431328567/IqpoCztBg?type=repost,
,,普通用户,"武汉站下高铁后看到，出站人群里戴口罩的不超过20%，接站的本地人戴口罩的很少。
工作人员部分佩戴外科口罩，应该是统一发放的，但显然没有强制要求，也没有向他们强调重要性。
武汉人对这场疫情的认识严重不足，过于松懈！",1.20,coffee2046,https://weibo.com/1651358143/Iqpo5t98F?type=repost,
,,微博个人认证,❗❗❗看了钟南山院士的直播，然后我总结了关于这次新型冠状病毒肺炎的几个点。重中之重：会出现人传人的现象，大家一定一定一定提高警惕！！！,1.20,姨太的吃瓜大会,https://weibo.com/1895944731/Iqpk3uN28?refer_flag=1001030103_&type=repost,
,,微博个人认证,#国内确诊291例新型冠状病毒肺炎病例# 经历过2003年非典疫情的人对冠状病毒不会陌生。那场可怕传染病的病原体正是一种冠状病毒。如今，与SARS病毒相近的新型冠状病毒在中国大陆卷土重来，我们应该怎样应对？,1.20,返朴,https://weibo.com/7006367380/IqlB51UgU?refer_flag=1001030103_&type=repost,
,,微博官方认证,#新型肺炎检测试剂盒公司全员加班#：每天睡2-3小时，春节不放假,1.21,头条新闻,https://weibo.com/1618051664/IqyAUev9A?refer_flag=1001030103_&type=repost,
,,微博官方认证,注意！活性炭口罩、棉布口罩防不了呼吸道传染病,1.21,新浪视频,https://weibo.com/1640601392/Iqyypofgv?refer_flag=1001030103_&type=repost,
,,微博官方认证,吸烟、室内煮醋、吃维C、喝板蓝根能有效预防新型肺炎病毒吗？答案是：不能！,1.21,果壳,https://weibo.com/1850988623/IqyjJ1HxY?type=repost,
,,微博个人认证,『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』,1.21,山新,https://weibo.com/1470809487/Iqyn3e6M6?type=repost,
,,微博官方认证,大麦网针对新型肺炎疫情在春节期间的退票政策,1.21,大麦官博,https://weibo.com/1722647874/IqyOe9KjN?refer_flag=1001030103_&type=repost,
