分类,公司,产品,进展,描述,时间
雷达,"Raytheon Missiles and Defense
雷神导弹与防御",AN / TPY-2：陆军海军/可移动雷达监视,"AN / TPY-2是一种导弹防御雷达，可以检测，跟踪和区分弹道导弹。
它在电磁频谱的X波段工作。这使它可以更清楚地看到目标，并区分实际威胁和非威胁（如发射碎片）。
","两种模式，一种稳定的防御
AN / TPY-2可以在两种模式下运行：基于正向的模式和终端模式。
在基于前进的模式下，雷达在发射弹道导弹后会对其进行检测。
在终端模式下，雷达可帮助将拦截器引向下降的导弹，以击败威胁。最值得注意的是，在终端模式下运行时，AN / TPY-2通过引导THAAD导弹来领导终端高空地区防御弹道导弹防御系统。",2021/4/9
导弹,"Raytheon Missiles and Defense
雷神导弹与防御",阿姆拉姆导弹（更新）,"先进中程空对空导弹-是世界上最先进的，作战验证的空中优势的武器。经过30多年的设计，升级，测试和生产，AIM-120导弹在各种天气条件下和视觉范围之外，仍能满足作战人员的需求。在超过4,800次试射和10多次空对空战斗的胜利中，其能力得到了充分证明。

",AMRAAM是真正的双角色导弹，在空对空和地面发射交战中提供了操作灵活性。它也是美国国家先进的地空导弹系统（也称为NASAMS?）的基本武器。最新版本的AMRAAM可在所有F-35联合突击战斗机变体上使用。它是唯一一架可以在F-35上飞行的雷达制导空空导弹,2021/3/30
导弹,"Raytheon Missiles and Defense
雷神导弹与防御",战斧巡航导弹第Ⅴ代,"一种精确的武器，可以从舰船和潜艇中发射，即使在防御力很强的领空，也可以精确地打击1,000英里以外的目标。","从2020年开始，美国海军将对导弹进行重新认证和现代化，将其使用寿命延长15年，并生产出新的战斧Block V系列：
第Ⅴ代：现代化的TACTOM，升级了导航和通讯功能
Va代：可以打击海上移动目标的V区块
Vb代： V区块，具有联合多效战斗部，可以击中更多不同的地面目标",2021/3/26
雷达,"Raytheon Missiles and Defense
雷神导弹与防御",柔性分布式阵列雷达或FlexDAR,与美国海军研究实验室合作建立的FlexDAR结合了数字波束形成，网络协调和精确的时间同步功能，可以在一个阵列中同时执行多个任务，例如监视，通信和电子战。 ,FlexDAR是根据ONR的电磁机动作战命令和控制（EMC2）计划开发的，目的是展示将??数字技术移植到传感器前端附近的好处。它包括两个配有数字波束形成，通信和网络链接的分布式雷达跟踪的实验性相控阵雷达。,2021年2月16日
导弹防御系统,"Raytheon Missiles and Defense
雷神导弹与防御",毒刺导弹防御系统,"
毒刺可重编程微处理器（RMP）导弹在可靠性和训练测试中的成功率超过90％。它的超音速，敏捷性和高度精确的制导与控制系统使该武器在对抗巡航导弹和所有飞机时具有操作优势。该系统还用于Apache直升机进行空对空交战。",一个轻量级的，自包含的防空可由地面部队快速部署系统,2021/1/22
导弹,"Raytheon Missiles and Defense
雷神导弹与防御",SM-6导弹,"反空战：  SM-6的初始任务是通过与载人和无人飞机攻击和巡航导弹交战，为美国海军提供反空战支持。
弹道导弹防御： 2015年，该武器证明可以在飞船的最后飞行阶段保护舰船免受弹道导弹的伤害。 
反水面作战： SM-6导弹于2016年达到其第一个水面目标，这支持了海军的分布式杀伤力概念，或从任何船只或任何地点打击的能力。",是三枚导弹合而为一，它是唯一可以执行防空战，弹道导弹防御和反水面作战任务的武器。该系统在有限的舰船空间内为海军提供了更大的灵活性，并使美国及其盟国能够经济高效地增加水面部队的进攻力量。,2021/1/22
导弹,"Raytheon Missiles and Defense
雷神导弹与防御",海军打击导弹,美国海军选择了由雷神技术公司和孔斯伯格·格鲁彭公司提供的海军打击导弹，以超视距防御沿海战斗舰和未来的护卫舰。,NSM是一种远程精确导弹，可击中防御严密的陆地和海洋目标。该导弹可以使用长达100海里的敌方防御系统，并使用先进的搜寻器和目标识别技术。,2020/3/9
导弹,"Raytheon Missiles and Defense
雷神导弹与防御",AIM-9X响尾蛇导弹,该武器的配置易于在各种现代飞机上安装，包括F-15C鹰，F-15E攻击鹰，F-16战斗猎鹰，F / A-18超级大黄蜂，E / A-18G咆哮者，F -22猛禽和所有F-35联合打击战斗机的变型。作为国家最先进的地空导弹系统（最著名的是NASAMS?）的一部分，AIM-9X增加了近程防御层。,"AIM-9X是一种三威胁导弹，无需进行任何修改即可用于空空交战，水面攻击和水面发射任务。
AIM-9X Block II导弹增加了重新设计的引信和数字点火安全装置，以改善操作和飞行中的安全性。它配备了更新的电子设备，包括使用新武器数据链路的发射后锁定功能，以支持超出可视范围的战斗。",2020.9.17
导弹,"Raytheon Missiles and Defense
雷神导弹与防御",美国海军使用雷神导弹和防御标准导弹-2 Block IIIA完成了祖姆沃尔特号（DDG 1000）的首次实弹试验,在TSCE的协调和控制下，任务包括几个有史以来的里程碑：从DDG 1000船级发射SM-2 Block IIIA；从MK57 VLS发射；以及使用SPY-3雷达为SM-2升级后的制导系统提供空中支持。 祖姆沃尔特号（USS Zumwalt）是新一代多用途驱逐舰中的主力舰,,2020.10.21
导弹,"Raytheon Missiles and Defense
雷神导弹与防御",百富勤空空导弹（新）,2019年雷神公司宣布研发一种新型的空对空导弹，它声称将是目前武器尺寸的一半，但可以实现更高的速度和机动性。,Peregrin导弹是一种小型，快速，轻巧的空空武器，可用于对付无人机，载人飞机和巡航导弹。这种导弹采用增材制造和易于获得的材料制造，价格低廉。它们也更轻，实际上使当前战斗机可以携带的导弹数量增加了一倍。（能会取代已有30年历史的AMRAAM导弹）,2019.9.26
导弹防御系统,"Raytheon Missiles and Defense
雷神导弹与防御",SeaRAM船舶防御系统,SeaRAM系统是仿照方阵（Phalanx）建模的，用可确定目标并发射11枚RAM导弹的发射器取代了20毫米加特林机枪。SeaRAM将RAM导弹的准确性，扩展范围和敏捷性与高分辨率搜索和跟踪传感器以及Phalanx Block 1B系统的可靠，快速响应相结合。,该SeaRAM 导弹防御系统抵御超音速和亚音速威胁，包括巡航导弹，无人机和直升机,2020.11.19
导弹防御系统,"Raytheon Missiles and Defense
雷神导弹与防御",SM-3拦截器（最新SM-3 Block IIA拦截器）,"SM-3拦截器既可以在陆基也可以在海基上灵活使用，因此没有弹道导弹防御能力的海军可以利用其无与伦比的能力来保护大片土地。
SM-3 IIA导弹在2017年初的首次实时目标测试中拦截了先进的弹道导弹威胁。完美的拦截之后，进行了两次成功的非目标飞行测试。该系统参加了2019年由北约领导的国际演习，该演习模拟了现实生活中的威胁情景。盟国与工业界之间的强有力合作有助于确保战胜世界上复杂的威胁。

Block IIA变体是欧洲导弹防御系统的核心。它将在波兰上岸部署，以完成“欧洲分阶段自适应方法”的第三阶段。
",标准导弹3：在陆地和海上打击弹道导弹，是美国海军用来摧毁短程至中程弹道导弹的防御性武器，拦截器由部署在欧洲海岸附近的美国海军舰船携带。,2020.04.03
导弹,"Raytheon Missiles and Defense
雷神导弹与防御",联合对峙武器JSOW,"JSOW C-1是世界上第一个启用网络的导弹，射程超过100公里。双向，打击通用武器数据链已添加到低成本，经过战斗力验证的导弹中。它使舰队部队可以灵活地与移动的海上目标交战，同时保持针对固定陆地目标的有效性。

该变体增加了武器数据链路无线电和改进的搜寻器软件，以支持反水面作战任务。",JSOW武器，也称为联合防区外武器，是美国海军最新的中程，精确打击防区外系统。这是用于第四代和第五代战斗机的第一种空中发射的网络化武器。JSOW包括一系列廉价的空对地导弹，这些导弹使用GPS惯性导航系统和红外热成像仪。,2020.4
导弹,"Raytheon Missiles and Defense
雷神导弹与防御",联合打击导弹JSM,"联合打击导弹的导航系统使它能够迅速改变飞行路线，并在低空躲避雷达的高度飞行。它的成像红外导引头提供自主目标识别，双向数据链路提供重新瞄准和任务中止选项。
联合打击导弹是唯一设计从F-35A的内部武器舱发射的第五代巡航导弹。",一种远程武器，可对陆上和海上的防御力很强的目标进行攻击。它的远距离范围或从发射飞机到目标的距离使飞行员免受伤害。,2020.5
微型空射诱饵,"Raytheon Missiles and Defense
雷神导弹与防御",MALD诱饵（干扰敌人的防空系统）,运营商将MALD诱饵编队送入敌对领空。灵活的模块化系统执行预先编程的任务，既保护盟军飞机，又使敌人的集成防空系统混乱。每艘飞船的重量不到300磅，射程约500海里。 ,该微型空射诱饵，或MALD 诱饵，是一种低成本，消耗，空射飞行器是欺骗了最先进的敌人综合防空系统，同时保持飞行员和飞机的伤害的方法。可编程武器复制了美国和盟军飞机的战斗飞行情况和签名。,2020.4
导弹,"Raytheon Missiles and Defense
雷神导弹与防御",StormBreaker智能武器,"该武器的导引头以三种模式工作，以提供最大的操作灵活性：
①毫米波雷达可检测并跟踪天气中的目标。
②红外成像可增强目标分辨力。 
③半主动激光使武器能够在地面上跟踪机载激光指示器或一个。 
三模式搜寻器在所有三种模式之间共享目标信息，使StormBreaker能够在一天中的任何时间，在所有天气条件下与固定或移动目标进行接触。
StormBreaker的体积小巧，可以使用较少的飞机来捕获与需要多架喷气机的大型武器相同数量的目标。该武器还可以飞行超过45英里以打击移动目标，从而减少了机组人员以伤害方式度过的时间。 

美国空军和美国海军已开始在F-35联合打击战斗机和F / A-18E / F超级大黄蜂飞机上进行StormBreaker智能武器集成活动。StormBreaker已被正式批准用于F-15E。",StormBreaker智能武器通过在一些最恶劣的天气条件下击中移动的目标，使操作员在战斗中占上风。在黑暗，恶劣的天气，烟雾或直升机扬起的尘埃引起的能见度不佳的情况下，有翼弹药会自动检测运动目标并将其分类。,2021.2
导弹,"Raytheon Missiles and Defense
雷神导弹与防御",铺路（Paveway）炸弹（将炸弹转换为精确制导武器）,GPS制导版：较新版本的Paveway炸弹配备了全球定位和惯性导航系统功能。这项创新将传统激光制导武器的准确性和灵活性与GPS制导的全天候能力相结合。结果是减少了出勤数量和武器库存，并提高了任务成功率。,铺路激光制导炸弹已经将“哑”弹到精确制导弹药彻底改变了战术空中到地面战争。铺路炸弹占“伊拉克自由”行动，“持久自由”行动和“统一保护者”行动使用的空对地，精确制导武器的一半以上,2020.4
反无人机系统,"Raytheon Missiles and Defense
雷神导弹与防御",Coyote UAS（土狼 反无人机系统）,"美国陆军选择了土狼无人机作为近期反UAS解决方案。配备了先进导引头和战斗部的启用土狼的系统可以成功识别并消除威胁无人机。
在2016年在陆上和海上进行的一系列演示中，成功地发射了二十多套土狼系统，并编队进驻，证明了自主网络的有效性。群集功能可应用于多种任务，从ISR活动到在战场环境中对移动目标的打击。",土狼反无人机系统具有体积小，消耗性和管发射。它可以从地面，空中或从船上部署。土狼无人机系统可以单独飞行，也可以成群结队地组合在一起，适用于各种任务，包括监视，电子战和打击。该系统最多可运行一小时，并且设计用于可互换的有效载荷。,2020.4
雷达,"Raytheon Missiles and Defense
雷神导弹与防御",KuRFS：Ku-band射频系统,"雷神导弹防御公司制造了KuRFS雷达，以帮助美军防御伊拉克和阿富汗境内的火箭，大炮和迫击炮袭击。今天，它也被用作反无人机系统雷达。它可以与多种武器系统配合使用，包括陆基“方阵”武器系统，50口径火炮和30毫米大炮。雷达还支持高能激光和土狼武器系统。
KuRFS使用一种称为主动电子扫描阵列的雷达感应技术，该技术使用许多小型天线而不是单个强大的天线来更好地控制波束。它在电磁频谱的Ku波段工作，可以进行更高分辨率的成像，这是跟踪较小的飞行物体的重要组成部分。","一种360度雷达，可感应传入的无人机，火箭，大炮和迫击炮。它可以提示防御性武器，可以在30分钟内在固定位置或车辆上进行设置。
",
雷达,"Raytheon Missiles and Defense
雷神导弹与防御",AN / MPQ-64前哨雷达,"该雷达支持多个命令和控制接口，可为对抗无人空中系统，巡航导弹以及固定翼和旋翼飞机的武器提供一致的空中监视和火控数据。它既可以在固定地点工作，也可以在高度机动的机动操作中工作。美国陆军和盟军在全球部署了300多个Sentinel雷达。
",是三维雷达，这意味着它可以报告所跟踪物体的范围，方位和高度。,2020.3
反无人机系统,"Raytheon Missiles and Defense
雷神导弹与防御",移相器大功率微波系统,"美国军方正在使用定向能源反无人机系统来保护全球资产。 

在空军演习中，人员经过一天的训练，控制了雷神技术公司的大功率微波和高能激光系统，并在现实情况中击败了无人机。演习是在有指导的能源军示威之后进行的。

雷神技术公司的大功率微波和高能激光系统可以单独使用，也可以一起使用。",Phaser大功率微波系统使用定向能量以光速击落无人驾驶飞机（单发或成群的无人机）。运营商将宽广的弧形能量束聚焦在无人机上，该无人机发出短而高功率的电磁能量，摧毁其电子设备，同时将其从空中掉落。,2020.4
导弹,"Raytheon Missiles and Defense
雷神导弹与防御",TOW武器系统,"雷神公司的导弹与防御部门正在研发一种升级的TOW导弹，以满足美国陆军对远程反坦克制导导弹的要求。该公司正在改善导弹的推进系统，使其具有更大的距离和速度。

该武器系统与20多个国际武装部队一起部署，并集成在15,000多个地面，车辆和直升机平台上。它也是北约，联军，联合国和全球维和行动首选的重型攻击，反装甲武器系统。",多管发射，光学跟踪，无线制导TOW 武器系统，具有多任务TOW 2A，TOW 2B航空和TOW掩体炸弹导弹，是最大的远距离，重型攻击精度反装甲，抗-强化和反两栖登陆武器系统在当今世界范围内使用。无论环境或条件如何，TOW导弹都能使地面部队对敌军的装甲和轮式系统实现超匹配。,
导弹,"Raytheon Missiles and Defense
雷神导弹与防御",Excalibur Projectile神剑飞弹,Excalibur弹药与所有经过测试的榴弹炮兼容。该武器在包括M777，M109系列，M198，弓箭手和PzH2000在内的多个系统中具有完全的资格。它也与AS90，K9和G6榴弹炮兼容。正在计划将其与其他移动火炮系统集成。,"神剑飞弹是一种真正的精密武器，可以在距目标不到2米的径向错位距离上进行打击。与“近乎精确”的制导系统不同，神剑武器在所有天气条件下的所有射程上都能提供准确的首轮效果。这种武器系统还将.39口径火炮的射程扩展到40公里，将.52口径火炮的射程扩展到50公里以上。
通过使用Excalibur射弹的精确度，与其他火炮弹药相关的时间，成本和后勤负担大大减少。分析表明，平均而言，要完成一件神剑武器所能达到的目标，至少要消耗10枚常规弹药。",
导弹,"Raytheon Missiles and Defense
雷神导弹与防御",标枪武器系统,"标枪为美国陆军，美国海军陆战队和众多国际客户提供了中程“射后即忘”导弹，可用于装甲车辆，掩体和山洞等多种目标。系统的命令发射装置或瞄准具进行监视，使炮手可以看到目标。

该武器可以从多个平台部署，并且可以在白天，夜晚和任何天气下使用。该程序还表明，标枪可以从安装在无人地面车辆上的远程发射器发射。

标枪已经在阿富汗和伊拉克使用了5,000多次。该系统计划在2050年之前有库存。",便携式反装甲武器系统是一种反坦克制导的弹药，可以由一个人携带和发射。它是由标枪合资企业制造的，该合资企业是雷神导弹防御公司和洛克希德·马丁公司之间的合作伙伴关系。,
导弹防御系统,"Raytheon Missiles and Defense
雷神导弹与防御",LTAMDS：较低层的空中和导弹防御传感器,"LTAMDS具有三个天线阵列–前面的一个主阵列，后面的两个辅助阵列。他们一起工作，可以同时检测和应对来自任何方向的多种威胁。效果：没有盲区的战场。

强大的性能
LTAMDS的主要阵列与爱国者防空导弹防御系统的阵列大小相同，但功率却是后者的两倍以上。它是为美国陆军的综合防空和导弹防御系统而设计的，但它也将保留现有的军事客户对爱国者系统的投资。",是一种旨在克服先进威胁和下一代威胁的雷达，包括高超声速武器或每秒飞行速度超过一英里的武器。,
导弹,"Raytheon Missiles and Defense
雷神导弹与防御",SM-2导弹,"SM-2的变体包括连续波和间断连续波制导模式下的雷达导引头技术，尾翼控制系统和固体火箭发动机推进器，以应对高速机动威胁并更新了雷达瞄准和定向弹头。 

通过增加自主红外采集功能，Block IIIB增强了其前身的功能。美国海军计划在2035年之前使用这种变体2020年，雷神公司的导弹与国防部和海军成功地对该公司重新启动的生产线进行了第一架SM-2导弹的飞行测试。SM-2 Block IIIB导弹发射，飞行并向射程提供了准确的遥测数据，并与空降的海军目标交战。",SM-2导弹将威胁追赶到更靠近水面的位置，防御90英里外的反舰导弹和飞机。SM-2是舰船分层防御的基石。,
导弹,"Raytheon Missiles and Defense
雷神导弹与防御",ESSM导弹,"ESSM导弹由美国海军和北约SEASPARROW财团的其他11个成员国中的9个国家开发，正在为美国，北约和其他盟国带来反舰导弹防御能力。财团的成员包括澳大利亚，比利时，加拿大，丹麦，德国，希腊，荷兰，挪威，葡萄牙，西班牙，土耳其和美国。

ESSM导弹将在服役或生产中进行超过2,000轮经过验证的发射，并根据客户要求再进行1,500轮发射，到2030年及以后，该导弹都将得到支持。","进化的海雀导弹–海上多功能防御
该ESSM 导弹是RIM-7海麻雀导弹的国际合作升级。它为海军环境中的高速，机动性高的反舰导弹提供了自卫战斗空间和火力。",
导弹,"Northrop Grumman
诺斯罗普·格鲁曼",高超音速武器,巴黎– 2019年6月18日–在多年合作的基础上，雷神公司（NYSE：RTN）与诺斯罗普·格鲁曼公司（NYSE：NOC）签署了一项合作协议，以开发，生产和集成诺斯罗普·格鲁曼公司的超燃冲压燃烧器，为雷神公司的空气呼吸提供动力高超音速武器。该合作协议利用两家公司的综合能力来加快开发速度，并显示出准备生产下一代战术导弹系统的意愿。,,
导弹,"Northrop Grumman
诺斯罗普·格鲁曼",电子引信,2020年2月28日–诺斯罗普·格鲁曼公司（纽约证券交易所代码：NOC）宣布，已于去年年底从美国空军获得FMU-167 / B的1.1亿美元生产订单，也被称为“硬目标空洞感测引信” 。,硬目标空洞感测引信是一种全电子，驾驶舱可编程的智能引信，能够摧毁深埋的目标。它提供了多个延迟布防和引爆时间，以及空隙感应功能，从而可以精确激活引信。,2020.2
导弹,"Northrop Grumman
诺斯罗普·格鲁曼",车辆主动保护系统（APS）,"诺斯罗普·格鲁曼公司（Northrop Grumman）使用其被动红外提示传感器系统成功生成了对入站ATGM的威胁警告，并为软杀制对策系统（SKCM）提供了提示。

诺斯罗普·格鲁曼公司（Northrop Grumman）SKCM系统被称为多功能电光系统（MEOS），成功对抗了ATGM并实时击败了它。MEOS识别并抵抗了在其APS系统上发射的所有类型的威胁，这是该系统连续第四次在战场测试中表现出色，能够战胜威胁。  ",在陆军的一次演习中，诺斯罗普·格鲁曼公司展示了一套完整的车辆主动保护系统（APS），该系统可以击败各种现实世界中的实弹反坦克制导弹药（ATGM）。,2019
导弹,"Northrop Grumman
诺斯罗普·格鲁曼","AARGM-ER的关键设计里程碑
（反辐射制导导弹扩展射程）",火箭发动机的设计验证测试是在极端低温和高温条件下进行的，并成功证明了所需的推进性能。弹头的测试成功地证明了杀伤力。AARGM-ER已集成在F / A-18E / F和EA-18G上，并且将与F-35A / B / C的集成兼容。通过利用AARGM程序，带有新的火箭发动机和弹头的AARGM-ER程序将提供先进的能力，以检测和参与远程敌方防空系统。,最近完成了关键设计审查（CDR），此前已成功对美国海军先进的反辐射制导导弹扩展射程（AARGM-ER）的关键部件进行了设计验证测试） 程序。AARGM-ER程序利用了目前在全速生产中的AARGM程序。AARGM-ER火箭发动机和弹头的设计验证测试以及CDR验证的子系统和系统级性能。,2020.6
导弹,"Northrop Grumman
诺斯罗普·格鲁曼",精密制导套件（PGK）,诺斯罗普·格鲁曼公司目前正在开发下一代精密火炮和迫击炮弹药，以利用该公司在PGK工作中获得的经验和技术发展。这些包括使用后方或中体制导系统的所有回合，这些系统提供更高的精度和可操纵性，并且还具有在GPS退化和恶劣环境下运行的能力。,制导导弹业务具有精确制导工具包（PGK），该工具包可替代用于炮弹和迫击炮弹药的常规引信，并将其转变为全球定位系统（GPS）精确制导武器。该公司还开发了XM395 120mm精确制导迫击炮，可将精确迫击炮快速开发，生产和部署到战术战区，使战场指挥官具有有机，快速，间接火力精确度的能力来应对眼前的威胁。,
导弹,"Northrop Grumman
诺斯罗普·格鲁曼",斧头Hatchet,该公司还在开发Hatchet精确打击武器，这是一种六磅重的空中滑翔武器，具有致命性增强军械（LEO）战斗部，可提供数百磅级的武器。,LEO战斗部限制了附带伤害，同时通过多种制导技术将GPS / INS / EO / IR搜寻器包括在内，可将精确度提高到一米。由于其体积小，压缩的托架和轻巧的特性，Hatchet能够武装无人航空系统，并且还为大型战斗机和轰炸机等载人飞机提供了大型高精度和高能武器的弹匣。,
鱼雷,"Northrop Grumman
诺斯罗普·格鲁曼",超轻型鱼雷（VLWT）,"诺斯罗普·格鲁曼公司是唯一一家全速生产MK54和MK48鱼雷机头阵列的公司，并已向美国海军交付了600多个MK54阵列和70多个MK48阵列。
凭借其工程和制造专业知识，诺斯罗普·格鲁曼公司（Northrop Grumman）对VLWT基准设计进行了改进，以取代高成本组件，并提高了整体承受能力，可重复性和可靠性。
",已成功为美国海军制造并测试了首批工业制造的超轻型鱼雷（VLWT）。鱼雷原型基于宾夕法尼亚州立大学应用研究实验室（PSU-ARL）的设计，该设计于2016年分配给国防工业制造商。诺斯罗普·格鲁曼公司（Northrop Grumman）由研究与开发独立资助，将为美国海军提供可承受性设计的改进。 VLWT是诺斯罗普·格鲁曼公司（Northrop Grumman）对海军紧凑型快速攻击武器计划的回应。,2020.5
,"Northrop Grumman
诺斯罗普·格鲁曼",,,,
